講義名,時間割コード,開講時期,担当教員,開講学部,曜日時限,評価方法
International Economics[International Economics],2124201,春学期,ﾊﾟｰｿﾝｽﾞ ｸﾚｯｸﾞ ﾛﾊﾞｰﾄ[PARSONS CRAIG ROBERT],経済学部,,"Quizzes (2) (15% each), Midterm (30%), and Final (40%)* As the final is 40% of the course, missing the final will automatically result in a grade below 60% and no credit (failure) of this course.  Please check the date of final exam week as soon it becomes available."
経済数学[Mathematics for Economics],2125101,春学期,平野 飛鳥[HIRANO ASUKA],経済学部,,小テスト4回(各15％)、最終課題40％
計量経済学[Econometrics],2125102,春学期,金澤 匡剛[KANAZAWA KYOGO],経済学部,,宿題(28%)、期末試験(72%)
経済統計[Economic Statistics],2125103,秋学期（第4ターム）,吉元 宇楽[YOSHIMOTO URAKU],経済学部,,授業レポート（40%）、定期試験（60%）
数理統計[Mathematical Statistics],2125104,春学期,永井 圭二[NAGAI KEIJI],経済学部,,毎回の授業ノートを授業支援システムを通じて提出してもらう。演習問題を数回程度出す予定。定期試験を行う。
マクロデータサイエンス[Data Science(macro)],2125105,春学期,相馬 尚人[SOMA NAOTO],経済学部,,レポート（80％），質問・コメントボーナス（20％）レポート課題については，最終授業（15回目）まで問題が逐次的に追加されていきます。それぞれの問題にどのタイミングで取り組み始めるかは自由です。また，途中まで取り組んだ段階で担当教員に相談しコメントやヒントをもらうことができます。最終結果だけではなく，相談をしてコメントをもらい内容を修正していく過程も含めて評価対象になります。
ミクロデータサイエンス[Data Science(micro)],2125106,春学期,古川 知志雄[FURUKAWA CHISHIO],経済学部,,授業と宿題を総合的に評価する。
憲法Ⅰ[Constitutional Law I],2126101,秋学期,君塚 正臣[KIMIZUKA MASAOMI],経済学部,,期末試験（択一式と論述式の併用。追再試験はこれと異なる場合がある）による。ただし、授業中、指し、これによい回答をした場合や小レポート提出率が極めて高い場合などに若干の追加得点を与える場合がある。
民法（総則・物権）[Law of General Provisions and Property],2126102,秋学期,柳迫 周平[YANASEKO SHUHEI],経済学部,,授業内で行う小テスト（10％×2回＝20％）と期末試験（80％）をもとに評価する。
民法（担保物権・債権総論）[Law of Obligations and Secured Transactions],2126103,春学期,渡邉 拓[WATANABE TAKU],経済学部,,成績は、小テスト等を加味したうえで、期末試験によって評価する。期末試験は対面での筆記試験による。持ち込みは一切不可。
刑事法[Criminal Law],2126104,春学期,内海 朋子[UTSUMI TOMOKO],経済学部,,筆記試験　１００％
ビジネス法[Business Law],2126105,春学期,笹岡 愛美[SASAOKA MANAMI],経済学部,,○定期試験(100％)・授業の範囲から出題します。・試験は、対面で実施する予定です。ただし、状況によりオンライン試験（またはレポート）の成績に基づく評価に変更する可能性があります。
課題発見の手法[Designing Solutions: Methods for capturing the real world],2129101,春学期,小林 誉明[KOBAYASHI TAKAAKI],経済学部,,授業への貢献(40.0%) 、リサーチ企画案(30.0%) 、フィールド調査結果 (30.0%)
課題分析の手法[Designing Solutions: Methods for creating knowledge],2129102,秋学期,小林 誉明[KOBAYASHI TAKAAKI],経済学部,,授業への貢献(40.0%) 、分析結果報告(30.0%) 、現実課題へのフィードバックの結果報告 (30.0%)
経済学のための数学入門[Introduction to Mathematics for Economics],2150101,春学期,平野 飛鳥[HIRANO ASUKA],経済学部,水曜4限,小テスト4回(各10％)、最終テスト（60％）
関税政策と税関行政[Tariff Policy and Customs Administration],2150102,秋学期,池島 祥文[IKEJIMA YOSHIFUMI],経済学部,金曜2限,成績は、レポート（60％）、出席（40％）で評価を行う。
経済原論１[Principles of Political Economy 1],2221103,春学期（第1ターム）,シュレスタ ナゲンドラ[SHRESTHA NAGENDRA],経済学部,,①　　 期末テストのレポートで成績評価をする。
経済原論２[Principles of Political Economy 2],2221104,春学期（第2ターム）,シュレスタ ナゲンドラ[SHRESTHA NAGENDRA],経済学部,,①　　 期末テストのレポートで成績評価をする。
現代経済システム１[Contemporary Economic Systems 1],2221107,春学期（第1ターム）,小川 翔吾[OGAWA SHOGO],経済学部,,定期試験(100%)によって評価する。知識でなく、講義で紹介・解説した論理を理解しているかを問うため、試験にA4サイズまでの紙一枚（いわゆるカンニングペーパー）の持ち込みを許可する予定である。
現代経済システム２[Contemporary Economic Systems 2],2221108,春学期（第2ターム）,小川 翔吾[OGAWA SHOGO],経済学部,,定期試験(100%)によって評価する。知識でなく、講義で紹介・解説した論理を理解しているかを問うため、（対面での試験が実施できる場合は）試験にA4サイズまでの紙一枚（いわゆるカンニングペーパー）の持ち込みを許可する予定である。あくまで予定なので、授業中の案内を聞くこと。
ミクロ経済学１[Microeconomics 1],2221109,秋学期（第4ターム）,石田 航[ISHIDA WATARU],経済学部,,成績は試験の結果のみで判断する。
ミクロ経済学２[Microeconomics 2],2221110,秋学期（第5ターム）,石田 航[ISHIDA WATARU],経済学部,,成績は試験の結果のみで判断する。
ミクロ経済学１[Microeconomics 1],2221111,春学期（第1ターム）,大滝 英生[OTAKI EISEI],経済学部,,webテスト（50％）と期末試験（50%）を参考に評価します。なお、①webテストの受験回数が2回以下の場合、評価の対象外になることがあります。②期末試験は実施しない場合もあります。この場合、webテストのみで成績評価します。
ミクロ経済学２[Microeconomics 2],2221112,春学期（第2ターム）,大滝 英生[OTAKI EISEI],経済学部,,webテスト（50％）と期末試験（50%）を参考に評価します。なお、①webテストの受験回数が2回以下の場合、評価の対象外になることがあります。②期末試験は実施しない場合もあります。この場合、webテストのみで成績評価します。
マクロ経済学１[Macroeconomics 1],2221113,春学期（第1ターム）,藤生 源子[FUJIO MINAKO],経済学部,,小テスト・課題（４０％）、定期試験（６０％）
マクロ経済学２[Macroeconomics 2],2221114,春学期（第2ターム）,藤生 源子[FUJIO MINAKO],経済学部,,小テスト・課題（４０％）、定期試験（６０％）
マクロ経済学１[Macroeconomics 1],2221115,秋学期（第4ターム）,岡田 多恵[OKADA TAE],経済学部,,①定期試験： 70%②小テストと授業に対する感想・質問・指摘含むリアクションペーパー：20％毎回、LMS等を用いて行う③平常点：10％出席は学生として当然のことですが、出席は考慮します。現在の文科省の指導では、授業への出席は当然のことで、出席点を成績評価の直接の対象として含めないようにとされています。・有益な（他の学生の学修に役立つ）コメントやしっかりした（他の学生の学修に役立つ）感想を書いてくれた人にはできるだけ加点しています。・成績は上記①～③を総合的に判断して評価する。今後、割合については変更する可能性がある。
マクロ経済学２[Macroeconomics 2],2221116,秋学期（第5ターム）,岡田 多恵[OKADA TAE],経済学部,,①定期試験： 70%②小テストと授業に対する感想・質問・指摘含むリアクションペーパー：20％毎回、LMS等を用いて行う③平常点：10％出席は学生として当然のことですが、出席は考慮します。現在の文科省の指導では、授業への出席は当然のことで、出席点を成績評価の直接の対象として含めないようにとされています。・有益な（他の学生の学修に役立つ）コメントやしっかりした（他の学生の学修に役立つ）感想を書いてくれた人にはできるだけ加点しています。・成績は上記①～③を総合的に判断して評価する。今後、割合については変更する可能性がある。
経済史１[Economic History 1],2222101,春学期,石山 幸彦[ISHIYAMA YUKIHIKO],経済学部,木曜2限,期末試験の成績（１００％）によって評価する。対面で試験を行うことを予定している。論述形式の設問によって、講義内容についての総合的な理解度をはかる。
経済史２[Economic History 2],2222102,秋学期,石山 幸彦[ISHIYAMA YUKIHIKO],経済学部,木曜2限,期末試験（１００％）の成績によって評価する。試験では、論述形式の設問によって、講義内容についての総合的な理解度をはかる。試験は対面で実施する予定である。
経済政策１[Economic Policy 1],2222105,春学期（第1ターム）,掛貝 祐太[KAKEGAI YUTA],経済学部,,①　　 期末レポート（６０％）②　　 毎回の講義で課すリアクションペーパー（４０％）※ただし、履修者の人数によっては、変更となる可能性があるため、初回講義にはかならず参加すること。※毎回、最後の10分程度をリアクションペーパーの記入にあて、次週講義で抜粋して紹介します。※リアクションペーパーの提出回数が全体の３分の２に満たない場合は、不可とするため注意すること。
経済政策２[Economic Policy 2],2222106,春学期（第2ターム）,掛貝 祐太[KAKEGAI YUTA],経済学部,,①　　 期末レポート（６０％）②　　 毎回の講義で課すリアクションペーパー（４０％）※ただし、履修者の人数によっては、変更となる可能性があるため、初回講義にはかならず参加すること。※毎回、最後の10分程度をリアクションペーパーの記入にあて、次週講義で抜粋して紹介します。※リアクションペーパーの提出回数が全体の３分の２に満たない場合は、不可とするため注意すること。
データサイエンス論[Data Science],2222107,春学期,加藤 隆太[KATOH RYUTA],経済学部,水曜4限,試験（５０％）と課題（５０％）により評価する。
エビデンスに基づく政策分析,2222108,春学期,須原 菜摘[SUHARA NATSUMI],経済学部,水曜1限,毎週の課題（30％）レポート（70％）
エビデンスに基づく政策分析,2222109,春学期,須原 菜摘[SUHARA NATSUMI],経済学部,,毎週の課題（30％）レポート（70％）
Global Economy[The Global Economy],2222201,春学期（第1ターム）,張 馨元[ZHANG XINYUAN],経済学部,,"Weekly test or report 60%(6 tests, 10% each), final exam 40%"
International Economics[International Economics],2224201,春学期,ﾊﾟｰｿﾝｽﾞ ｸﾚｯｸﾞ ﾛﾊﾞｰﾄ[PARSONS CRAIG ROBERT],経済学部,火曜1限,"Quizzes (2) (15% each), Midterm (30%), and Final (40%)* As the final is 40% of the course, missing the final will automatically result in a grade below 60% and no credit (failure) of this course.  Please check the date of final exam week as soon it becomes available."
経済数学[Mathematics for Economics],2225101,春学期,平野 飛鳥[HIRANO ASUKA],経済学部,水曜3限,小テスト4回(各15％)、最終課題40％
経済統計[Economic Statistics],2225102,秋学期（第4ターム）,吉元 宇楽[YOSHIMOTO URAKU],経済学部,,授業レポート（40%）、定期試験（60%）
数理統計[Mathematical Statistics],2225103,春学期,永井 圭二[NAGAI KEIJI],経済学部,水曜2限,毎回の授業ノートを授業支援システムを通じて提出してもらう。演習問題を数回程度出す予定。定期試験を行う。
計量経済学[Econometrics],2225104,春学期,金澤 匡剛[KANAZAWA KYOGO],経済学部,火曜4限,宿題(28%)、期末試験(72%)
マクロデータサイエンス[Data Science(macro)],2225105,春学期,相馬 尚人[SOMA NAOTO],経済学部,,レポート（80％），質問・コメントボーナス（20％）レポート課題については，最終授業（15回目）まで問題が逐次的に追加されていきます。それぞれの問題にどのタイミングで取り組み始めるかは自由です。また，途中まで取り組んだ段階で担当教員に相談しコメントやヒントをもらうことができます。最終結果だけではなく，相談をしてコメントをもらい内容を修正していく過程も含めて評価対象になります。
ミクロデータサイエンス[Data Science(micro)],2225106,春学期,古川 知志雄[FURUKAWA CHISHIO],経済学部,,授業と宿題を総合的に評価する。
憲法[Constitutional Law],2226101,秋学期,君塚 正臣[KIMIZUKA MASAOMI],経済学部,水曜4限,期末試験（択一式と論述式の併用。論述式は選択問題とする。追再試験はこれと異なる場合がある）による。ただし、授業中、指し、これによい回答をした場合や小レポート提出率が極めて高い場合などに若干の追加得点を与える場合がある。
民法（担保物権・債権総論）[Law of Obligations and Secured Transactions],2226102,春学期,渡邉 拓[WATANABE TAKU],経済学部,,成績は、小テスト等を加味したうえで、期末試験によって評価する。期末試験は対面での筆記試験による。持ち込みは一切不可。
刑事法[Criminal Law],2226103,春学期,内海 朋子[UTSUMI TOMOKO],経済学部,,筆記試験　１００％
憲法Ⅰ[Constitutional Law I],2226104,秋学期,君塚 正臣[KIMIZUKA MASAOMI],経済学部,水曜3限,期末試験（択一式と論述式の併用。追再試験はこれと異なる場合がある）による。ただし、授業中、指し、これによい回答をした場合や小レポート提出率が極めて高い場合などに若干の追加得点を与える場合がある。
ビジネス法[Business Law],2226105,春学期,笹岡 愛美[SASAOKA MANAMI],経済学部,,○定期試験(100％)・授業の範囲から出題します。・試験は、対面で実施する予定です。ただし、状況によりオンライン試験（またはレポート）の成績に基づく評価に変更する可能性があります。
経済学史[History of Economic Thought],2231101,秋学期,石井 穣[ISHII JOU],経済学部,金曜4限,講義ごとの小テストと学期末の筆記試験により成績評価を行う。配点の目安は小テストが30％、期末試験が70％である。
比較農業政策[Comparative Analysis of Agricultural Policies],2232101,春学期（第1ターム）,倪 卉[NI HUI],経済学部,,第１タームと第２タームのそれぞれの最終回には記述/レポート式テストとを行い、それぞれ評価を行います。いずれのタームでも、［授業中の質疑・討論・授業後の課題（約30％）＋記述式（レポート式）テスト（約70％）＋加点］の合計点数から、総合的に評価します。
国際環境経済論[International Environmental Economics],2232102,春学期,氏川 恵次[UJIKAWA KEIJI],経済学部,木曜3限,期末試験（100％）によって評価します。
途上国経済[Developing Economies],2232103,春学期,山崎 圭一[YAMAZAKI KEIICHI],経済学部,木曜1限,出席は、学部規則により５０％以上が必要である。出席の評価割合は０％である（出席点はなく、評価の対象となるための条件である）。毎回、ＬＭＳで出席票を提出すること（出席したことを記すのみで、感想は不要）。詳しくは授業中に説明する。　平常点が３０％、春学期期末の試験が７０％で、評価する。平常点については、授業の感想を春学期中に５回（つまりほぼ３週に１回）、ＬＭＳ経由で提出する。提出をもとめる週は、授業中に指示する。春学期の試験問題は、正誤判定（記号または数字を選択して解答）、キーワード解説および自由論述問題の３種類から構成される。
ロシア東欧経済[Russian and East European Economies],2232105,春学期,中村 靖[NAKAMURA YASUSHI],経済学部,火曜3限,小テスト50%および期末定期試験50%で評価します。
アジア経済史[Asian Economic History],2232106,春学期,芦沢 知絵[ASHIZAWA CHIE],経済学部,火曜1限,定期試験（70％）、毎回授業後のリアクションペーパー（30％）で成績を評価する。
国際経済史[International Economic History],2232107,春学期,松永 友有[MATSUNAGA TOMOARI],経済学部,水曜1限,最終授業時におこなう試験の成績によって評価する。
現代公共政策[Contemporary Public Policy],2232108,春学期,杉本 康太[SUGIMOTO KOTA],経済学部,木曜2限,期末試験（100％）
公共経済学[Public Economics],2233102,春学期,岩瀬 祐介[IWASE YUSUKE],経済学部,月曜1限,中間試験40%＋期末試験60%
労働経済学[Labor Economics],2233103,秋学期（第4ターム）,張 俊超[ZHANG JUNCHAO],経済学部,,期末試験(100%)により評価する。課題は定期的に課されるが、成績評価に反映しない。
地域経済政策[Local and Regional Economic Policy],2233104,春学期,居城 琢[ISHIRO TAKU],経済学部,火曜2限,授業内における小テスト(10%)と授業内に課される課題レポート（10%）の合計を平常点（20％）とし、中間試験（30％)と定期試験（50%）の合計（80％）を試験の評価として、合計（100％）で成績評価を行います。
現代社会福祉[Social Policy and Welfare Society],2233105,春学期,加藤 壮一郎[KATOH SOICHIRO],経済学部,水曜1限,出席・授業中のディスカッションなどの参加（40%）、中間レポート（20%）、最終レポート（40%）
地方財政[Local Public Finance],2233106,春学期,山口 隆太郎[YAMAGUCHI RYUTARO],経済学部,火曜2限,定期試験（70%）と小テスト（30%）によって評価する。ただし授業後などに提出した優れたコメント・質問については10点程度を上限として加味する。
日本経済史[Japanese Economic History],2233107,春学期,邉 英治[HOTORI EIJI],経済学部,火曜4限,授業での発言内容（20％）、毎回の課題取組み（10％）、期末レポート（70％）。レポート課題は7月上旬までに発表する。締切は融通がきかないので、注意すること。高評価を得るためには講義内容をふまえた記述が求められる。横浜国立大学経済学部規則第８条には「授業科目試験は、履修を届出、かつ、授業時数の2分の1以上出席した授業科目について行う」とある。期末レポートの提出資格を確認するための出席確認も兼ねて、毎回簡単な課題に取り組んでもらう（第３回以降）。2分の1以上の出席が確認できない場合は基本的に「不可」となる。なお、公欠については、「横浜国立大学における授業の欠席に関する取扱要項」に定められた通りである。
現代経済史[Modern Economic History],2233108,春学期,出口 雄大[DEGUCHI YUDAI],経済学部,金曜4限,定期試験によって評価する（100%）。
国際金融[International Finance],2234101,春学期,上川 孝夫[KAMIKAWA TAKAO],経済学部,金曜4限,レポート20％、定期試験80％
現代外国為替論[Exchange Rate Economics],2234102,春学期（第1ターム）,佐藤 清隆[SATO KIYOTAKA],経済学部,,定期試験の成績のみで評価する。100点満点で60点以上が「可」、70点以上が「良」、80点以上が「優」、90点以上が「秀」の成績となる。教室で対面の筆記試験を行う。出席点、レポート等は考慮しない。最終成績の救済措置は一切行わない。
ファイナンス[Finance],2234104,春学期,猪野 明生[INO AKIO],経済学部,金曜2限,小テスト(20%)と期末試験(80%)
産業組織論[Industrial Organization],2234105,春学期,鶴岡 昌徳[TSURUOKA MASANORI],経済学部,水曜1限,春学期の宿題は成績の評価の対象外です（提出不要）。中間試験40＋期末試験60中間試験及び期末試験は対面形式なので注意してください。
ゲーム理論[Game Theory],2235101,春学期（第1ターム）,礫石 恭伍[TSUBUTEISHI KYOGO],経済学部,,原則として、期末試験100%で評価する。
マクロデータサイエンス[Data Science(macro)],2235102,春学期,相馬 尚人[SOMA NAOTO],経済学部,金曜3限,レポート（80％），質問・コメントボーナス（20％）レポート課題については，最終授業（15回目）まで問題が逐次的に追加されていきます。それぞれの問題にどのタイミングで取り組み始めるかは自由です。また，途中まで取り組んだ段階で担当教員に相談しコメントやヒントをもらうことができます。最終結果だけではなく，相談をしてコメントをもらい内容を修正していく過程も含めて評価対象になります。
ミクロデータサイエンス[Data Science(micro)],2235103,春学期,古川 知志雄[FURUKAWA CHISHIO],経済学部,水曜5限,授業と宿題を総合的に評価する。
比較経済学[Comparative Economic Systems],2235301,秋学期（第4ターム）,陳 雨[CHEN YUTING],経済学部,,出席（30%）レポート（30%）プレゼンテーション（40%）
人・物と法[Law of General Provisions and Property],2236101,秋学期,柳迫 周平[YANASEKO SHUHEI],経済学部,火曜2限,授業内で行う小テスト（10％×2回＝20％）と期末試験（80％）をもとに評価する。
取引と法[Law of Obligations and Secured Transactions],2236102,春学期,渡邉 拓[WATANABE TAKU],経済学部,火曜5限,成績は、小テスト等を加味したうえで、期末試験によって評価する。期末試験は対面での筆記試験による。持ち込みは一切不可。
契約と法[Law of Contracts and Torts],2236103,秋学期,渡邉 拓[WATANABE TAKU],経済学部,金曜5限,成績は、小テスト等を加味したうえで、期末試験によって評価する。期末試験は対面での筆記試験による。持ち込みは一切不可とする。
刑事法[Criminal Law],2236104,春学期,内海 朋子[UTSUMI TOMOKO],経済学部,木曜4限,筆記試験　１００％
国際法[International Law],2236105,春学期,藤田 大智[FUJITA DAICHI],経済学部,水曜2限,第1回小テスト（15％）、第2回小テスト（15％）、定期試験（70％）
憲法Ⅱ[Constitutional Law II],2236106,秋学期,君塚 正臣[KIMIZUKA MASAOMI],経済学部,水曜4限,期末試験（択一式と論述式の併用。論述式は選択問題とする。追再試験はこれと異なる場合がある）による。ただし、授業中、指し、これによい回答をした場合や小レポート提出率が極めて高い場合などに若干の追加得点を与える場合がある。
行政法[Administrative Law],2236107,春学期,板垣 勝彦[ITAGAKI KATSUHIKO],経済学部,火曜1限,筆記試験による。
会社法Ⅰ[Laws of Corporations I],2236108,春学期,芳賀 良[HAGA RYOU],経済学部,,成績は、平常点（全体の30％）と期末試験（全体の70％）で評価します。平常点は、授業支援システム上で実施する「到達度確認テスト」（全15回を予定）により評価します。期末試験は、筆記試験を実施する予定です。履修登録する際には、留意してください。
中級比較農業政策[Comparative Analysis of Agricultural Policies: Intermediate],2242101,春学期（第2ターム）,倪 卉[NI HUI],経済学部,,第１タームと第２タームのそれぞれの最終回には記述/レポート式テストとを行い、それぞれ評価を行います。いずれのタームでも、［授業中の質疑・討論・授業後の課題（約30％）＋記述式（レポート式）テスト（約70％）＋加点］の合計点数から、総合的に評価します。
中級国際環境経済[International Environmental Economics: Intermediate],2242103,秋学期,氏川 恵次[UJIKAWA KEIJI],経済学部,,期末試験（100％）によって評価します。
中級国際環境経済　分野別演習[International Environmental Economics: Intermediate (Guided Study)],2242104,秋学期,氏川 恵次[UJIKAWA KEIJI],経済学部,,発表内容（50％）、ディスカッション参加（50％）
中級途上国経済[Developing Economies: Intermediate],2242105,秋学期,山崎 圭一[YAMAZAKI KEIICHI],経済学部,,出席は、学部規則により５０％以上が必要である。出席の評価割合は０％である（出席点はなく、評価の対象となるための条件である）。毎回、ＬＭＳで出席票を提出すること（出席したことを記すのみで、感想は不要）。詳しくは授業中に説明する。　平常点が３０％、秋学期期末の試験が７０％で、評価する。平常点については、授業の感想を秋学期中に５回（つまりほぼ３週に１回）、ＬＭＳ経由で提出する。提出をもとめる週は、授業中に指示する。秋学期の試験問題は、正誤判定（記号または数字を選択して解答）、キーワード解説および自由論述問題の３種類から構成される。
中級途上国経済　分野別演習[Developing Economies: Intermediate (Guided Study)],2242106,秋学期,山崎 圭一[YAMAZAKI KEIICHI],経済学部,,中間報告のレポートが２０％、最終的に提出されたレポートが８０％という割合で、評価する。
中級国際経済史[International Economic History: Intermediate],2242107,秋学期,松永 友有[MATSUNAGA TOMOARI],経済学部,,期末試験の成績によって評価する。
中級国際経済史　分野別演習[International Economic History: Intermediate (Guided Study)],2242108,秋学期,松永 友有[MATSUNAGA TOMOARI],経済学部,,研究発表、タームペーパーなどを通じて総合的に評価する。
中級ロシア東欧経済[Russian and East European Economies: Intermediate],2242113,秋学期,中村 靖[NAKAMURA YASUSHI],経済学部,,授業中の小テスト30％，Rを使ったレポート35％、期末テスト35％で評価します
中級現代公共政策[Contemporary Public Policy: Intermediate],2242115,秋学期,杉本 康太[SUGIMOTO KOTA],経済学部,,①授業後のレポート（50％）授業後〜次回の授業の前日14:40までに授業支援システム上に提出。字数の目安は800字。計10回。②期末試験（50％）
中級現代公共政策　分野別演習[Contemporary Public Policy: Intermediate (Guided Study)],2242116,秋学期,杉本 康太[SUGIMOTO KOTA],経済学部,,最終的に提出された課題レポートにより評価する（100%）。
中級エビデンスに基づく政策分析  分野別演習,2242117,秋学期,須原 菜摘[SUHARA NATSUMI],経済学部,,毎週課される課題（30％）レポート（70％）
中級世界経済[Global Economy: Intermediate],2242201,春学期（第2ターム）,張 馨元[ZHANG XINYUAN],経済学部,,"Weekly presentation(or report) 40%, final exam(or assignment) 60%"
中級世界経済　分野別演習[Global Economy: Intermediate (Guided Study)],2242202,春学期（第2ターム）,張 馨元[ZHANG XINYUAN],経済学部,,平常点20％、レポート80％
International Communication[International Communication],2242301,秋学期,中村 良夫[NAKAMURA YOSHIO],経済学部,,学期末レポートによって評価する。
中級現代社会福祉[Social Policy and Welfare Society: Intermediate],2243101,秋学期,加藤 壮一郎[KATOH SOICHIRO],経済学部,,授業中のディスカッションなどの参加（40%）、中間レポート（20%）、最終レポート（40%）
中級地方財政[Local Public Finance: Intermediate],2243103,秋学期,山口 隆太郎[YAMAGUCHI RYUTARO],経済学部,,定期試験（70%）、小テスト（30%）によって評価する。ただし優れたコメント・質問については10点程度を上限として加味する。
中級労働経済学[Labor Economics: Intermediate],2243105,秋学期（第5ターム）,張 俊超[ZHANG JUNCHAO],経済学部,,期末試験(100%)により評価する。課題は定期的に課されるが、成績評価に反映しない。
中級日本経済史[Japanese Economic History: Intermediate],2243107,秋学期,邉 英治[HOTORI EIJI],経済学部,,授業での発言内容（20％）、毎回の課題の取組（10％）、期末レポート（70％）。内容は1月中旬までに授業支援システムで発表する。締切を過ぎての提出は一切認めないので、注意すること。高評価を得るためには講義内容をふまえた記述が求められる。横浜国立大学経済学部規則第８条には「授業科目試験は、履修を届出、かつ、授業時数の2分の1以上出席した授業科目について行う」とある。期末レポートの提出資格を確認するための出席確認も兼ねて、毎回簡単な課題に取り組んでもらう（第３回以降）。2分の1以上の出席が確認できない場合は基本的に「不可」となる。なお、公欠については、「横浜国立大学における授業の欠席に関する取扱要項」に定められた通りである。
中級日本経済史　分野別演習[Japanese Economic History: Intermediate (Guided Study)],2243108,秋学期,邉 英治[HOTORI EIJI],経済学部,,アーカイブ史料調査報告書（20%）、中間報告レジュメ及び報告内容（30%）、課題レポート（50%）。
中級公共経済学[Public Economics: Intermediate],2243111,秋学期,岩瀬 祐介[IWASE YUSUKE],経済学部,,中間試験40%＋期末試験60%
中級現代経済史[Modern Economic History: Intermediate],2243113,秋学期,出口 雄大[DEGUCHI YUDAI],経済学部,,定期試験によって評価する（100%）。
中級現代経済史　分野別演習[Modern Economic History: Intermediate (Guided Study)],2243114,秋学期,出口 雄大[DEGUCHI YUDAI],経済学部,,中間報告（20%）、ターム・ペーパー（80%）によって評価する。
中級地域経済政策[Local and Regional Economic Policy: Intermediate],2243115,秋学期,居城 琢[ISHIRO TAKU],経済学部,,授業内に課される課題レポート（20%）を平常点（20％）とし、中間試験（30％)と定期試験（50%）の合計（80％）を試験の評価として、合計（100％）で成績評価を行います。
中級地域経済政策　分野別演習[Local and Regional Economic Policy: Intermediate (Guided Study)],2243116,秋学期,居城 琢[ISHIRO TAKU],経済学部,,授業中に行う教員との討論など授業への参加態度（50％）と課題レポート（50％）により評価する
中級ファイナンス[Finance: Intermediate],2244103,秋学期,猪野 明生[INO AKIO],経済学部,,小テスト(20%)とレポート(80%)
中級ファイナンス　分野別演習[Finance: Intermediate (Guided Study)],2244104,秋学期,猪野 明生[INO AKIO],経済学部,,授業内の報告(30%)及び最終的に提出された論文(70%)により評価します。
中級国際金融[International Finance: Intermediate],2244105,秋学期,上川 孝夫[KAMIKAWA TAKAO],経済学部,,レポート20％、定期試験80％
中級産業組織論[Industrial Organization: Intermediate],2244107,秋学期,鶴岡 昌徳[TSURUOKA MASANORI],経済学部,,宿題10＋中間試験30＋期末試験60中間試験と期末試験のやり方について注意してください。
中級産業組織論　分野別演習[Industrial Organization: Intermediate (Guided Study)],2244108,秋学期,鶴岡 昌徳[TSURUOKA MASANORI],経済学部,,宿題の成績の点数(80)＋レフェリーレポートの出来(20)
中級現代外国為替論[Exchange Rate Economics: Intermediate],2244109,春学期（第2ターム）,佐藤 清隆[SATO KIYOTAKA],経済学部,,定期試験の成績のみで評価する。100点満点で60点以上が「可」、70点以上が「良」、80点以上が「優」、90点以上が「秀」の成績となる。教室で対面の筆記試験を行う。出席点、レポート等は考慮しない。最終成績の救済措置は一切行わない。
中級現代外国為替論　分野別演習[Exchange Rate Economics: Intermediate (Guided Study)],2244110,春学期（第2ターム）,佐藤 清隆[SATO KIYOTAKA],経済学部,,タームペーパーの点数で最終評価を行う。
中級国際経済学[International Economics: Intermediate],2244201,秋学期,ﾊﾟｰｿﾝｽﾞ ｸﾚｯｸﾞ ﾛﾊﾞｰﾄ[PARSONS CRAIG ROBERT],経済学部,,"Quizzes (2) (15% each), Midterm (30%), and Final (40%)* As the final is 40% of the course, missing the final will automatically result in a grade below 60% and no credit (failure) of this course.  Please check the date of final exam week as soon it becomes available."
中級国際経済学 分野別演習[International Economics: Intermediate (Guided Study)],2244202,秋学期,ﾊﾟｰｿﾝｽﾞ ｸﾚｯｸﾞ ﾛﾊﾞｰﾄ[PARSONS CRAIG ROBERT],経済学部,,The grade will be based on the final RCA report.
中級計量経済学[Econometrics: Intermediate],2245103,秋学期,金澤 匡剛[KANAZAWA KYOGO],経済学部,火曜4限,宿題(28%)、期末試験(72%)
中級計量経済学　分野別演習[Econometrics: Intermediate (Guided Study)],2245104,秋学期,金澤 匡剛[KANAZAWA KYOGO],経済学部,,レポートの提出を前提としたうえで、ディスカッションへの参加の様子により評価する。
中級経済統計[Economic Statistics: Intermediate],2245105,秋学期（第5ターム）,吉元 宇楽[YOSHIMOTO URAKU],経済学部,,授業レポート（40%）、定期試験（60%）
中級経済統計　分野別演習[Economic Statistics: Intermediate (Guided Study)],2245106,秋学期,吉元 宇楽[YOSHIMOTO URAKU],経済学部,,各種レポートと各授業の評価（100%）
中級数理統計[Mathematical Statistics: Intermediate],2245107,秋学期,永井 圭二[NAGAI KEIJI],経済学部,水曜2限,毎回の授業ノートを授業支援システムを通じて提出してもらう。演習問題を数回程度出す予定。定期試験を行う。
中級数理統計　分野別演習[Mathematical Statistics: Intermediate (Guided Study)],2245108,秋学期,永井 圭二[NAGAI KEIJI],経済学部,,毎回の授業ノートを授業支援システムを通じて提出してもらう。演習問題を数回程度出す予定。定期試験を行う。
中級ゲーム理論[Game Theory: Intermediate],2245109,春学期（第2ターム）,礫石 恭伍[TSUBUTEISHI KYOGO],経済学部,,原則として、期末試験100%で評価する。
